parent;predicate;child;parentLabel;childLabel
http://data.europa.eu/esco/isco/C0110;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7;Officieren;kolonel
http://data.europa.eu/esco/isco/C3343;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652;Administratief secretarissen en uitvoerende secretarissen;administratief medewerker
http://data.europa.eu/esco/isco/C8160;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/64c180d0-029b-4dc7-b582-77899d171186;Bedieningspersoneel van machines voor de vervaardiging van voedingsmiddelen e.d.;blenderoperator
http://data.europa.eu/esco/isco/C2114;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d;Geologen en geofysici;geoloog
http://data.europa.eu/esco/isco/C2631;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c;Economen;econoom
http://data.europa.eu/esco/isco/C1221;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321;Leidinggevende functies op het gebied van verkoop en marketing;hoofd marketing
http://data.europa.eu/esco/isco/C1420;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/9e81adde-9983-44fa-b74b-c548d0dbfbdd;Leidinggevende functies in de detail- en groothandel;winkelmanager
http://data.europa.eu/esco/isco/C2431;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e;Specialisten op het gebied van reclame en marketing;mediabuyer
http://data.europa.eu/esco/isco/C2635;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4b05bef2-ded4-4b09-ab94-f4c6a555a775;Maatschappelijk werkers en counselors;sociaal werker
http://data.europa.eu/esco/isco/C7213;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/5ed024ab-3b6a-4e06-a7fe-8a29f8469a64;Plaatwerkers;ketelmaker
http://data.europa.eu/esco/isco/C5112;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b;Conducteurs;bediende passagiersdienst spoorwegen
